//アイテム番号	// ※0番にはアイテムを設定しないで下さい。																																																		
// <武器>	名前	効果説明文	アイテム説明文	強化Lv	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	進化先判定スクリプト	進化段階	特性スロット数	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	LV1攻撃力	LV1防御力	LV2必要経験値	LV2攻撃力	LV2防御力	LV3必要経験値	LV3攻撃力	LV3防御力	特性１タイプ	特性１効果値	特性１反応カテゴリ	特性１必要特性値	特性２タイプ	特性２効果値	特性２反応カテゴリ	特性２必要特性値	特性３タイプ	特性３効果値	特性３反応カテゴリ	特性３必要特性値	進化先アイテム１	進化先アイテム２	進化先アイテム３	進化先アイテム４
// <防具>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	攻撃力	防御力	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <腕>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	攻撃力	防御力	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <アクセサリ>	名前	効果説明文	アイテム説明文	効果ｶﾃｺﾞﾘ(0以外で有効。同じｶﾃｺﾞﾘ値のものは重複装備できない)	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	攻撃力	防御力	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <素材>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	経験値	特性値	カテゴリ１	カテゴリ２	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <衣装>	名前	サブ説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	同時装備判別用番号																																						
// <料理>	名前	効果説明文	アイテム説明文	効果時間	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	使用時スクリプト	使用条件	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <その他>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	使用時スクリプト	使用条件	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
9	Mistilteinn	STR+303/DEF+20	Contains the psyches of species past$nto conquer the providence of despair.	0	EQ_WP_SWORD	8	10	5	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	20	10	303	20	20	303	20	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
10	Rusted Sword	STR+4	A one-handed sword that has rusted$ndue to exposure to salt water.	0	EQ_WP_SWORD	9	1	1	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	10	5	0	20	6	0	WEAPON_ABILITY_TEST04	5	ITEM_TYPE_MATERIAL	10	WEAPON_ABILITY_TEST06	15	ITEM_TYPE_MATERIAL	20	WEAPON_ABILITY_STRDEFUP	30	ITEMCATEGORY_SHELL	40	0	0	0	0
11	----剣----	×	×ボツのため未使用	0	0	0	11	5	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	12	10	275	13	20	284	15	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
12	Isios Blade	STR+290/DEF+20	A powerful sword created through$nalchemy.	0	EQ_WP_SWORD	10	0	5	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	20	10	290	50	20	290	50	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
13	Spirit Ring Celesdia	STR+281/DEF+10	Crescent blades containing the power of spirits.\nAs they grow in power, Dana's Essence responds in kind.	0	EQ_WP_HALBERT	413	55	5	1	1	0	0		0	0	ZOKU_SPIRIT_STR	5	0	0	0	0	0	0	0	0	0	0	246	10	10	246	10	20	246	10	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
14	----剣----			0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	20	0	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
15	Short Sword	STR+19	A one-handed sword.$nSmall, sharp, and easy to wield.	1	EQ_WP_SWORD	0	2	1	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	10	19	0	20	19	0	WEAPON_ABILITY_TEST04	5	ITEM_TYPE_MATERIAL	10	WEAPON_ABILITY_TEST06	15	ITEM_TYPE_MATERIAL	20	WEAPON_ABILITY_STRDEFUP	30	ITEMCATEGORY_SHELL	40	0	0	0	0
16	Long Sword	STR+62/DEF+1	Methodically forged from tempered steel$nto prevent wear and tear.	1	EQ_WP_SWORD	1	3	2	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	62	1	10	62	1	20	62	1	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
17	Defender	STR+93/DEF+6	A sword that combines offensive$nand defensive attributes.	1	EQ_WP_SWORD	2	4	2	0	0	0	0		2	0	0	0	0	0	0	0	0	0	0	0	0	0	93	6	10	93	6	20	93	6	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
18	Liberacion	STR+141/DEF+7	A sword forged from orichalcum$nspecifically to slay Primordials.	1	EQ_WP_SWORD	3	5	3	0	0	0	0		3	0	0	0	0	0	0	0	0	0	0	0	0	0	141	7	10	141	7	20	141	7	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
19	Dunamis Edge	STR+170/DEF+9	Made for experienced warriors, the blade$nis exceptionally beautiful and durable.	1	EQ_WP_SWORD	4	6	3	0	0	0	0		4	0	0	0	0	0	0	0	0	0	0	0	0	0	170	9	10	170	9	20	170	9	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
20	Vorpal Blade	STR+205/DEF+10	A trenchant long sword, with power$ncomparable to siege weaponry.	1	EQ_WP_SWORD	5	7	4	0	0	0	0		4	0	0	0	0	0	0	0	0	0	0	0	0	0	205	10	10	205	10	20	205	10	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
21	Dainsleif	STR+233/DEF+11	Used during the Eternian era, this sword$ncan slice through Saurian scales.	1	EQ_WP_SWORD	6	8	4	0	0	0	0		5	0	0	0	0	0	0	0	0	0	0	0	0	0	233	11	10	233	11	20	233	11	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
22	Hyperion Blade	STR+275/DEF+13	A powerful sword, said to be capable$nof cleaving the heavens.	1	EQ_WP_SWORD	7	9	4	1	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	13	10	275	13	20	275	13	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
23	Short Sword	STR+32	A one-handed sword.$nSmall, sharp, and easy to wield.	2	EQ_WP_SWORD	0	2	1	1	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	10	32	0	20	32	0	WEAPON_ABILITY_TEST04	5	ITEM_TYPE_MATERIAL	10	WEAPON_ABILITY_TEST06	15	ITEM_TYPE_MATERIAL	20	WEAPON_ABILITY_STRDEFUP	30	ITEMCATEGORY_SHELL	40	0	0	0	0
24	Long Sword	STR+70/DEF+2	Methodically forged from tempered steel$nto prevent wear and tear.	2	EQ_WP_SWORD	1	3	2	1	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	70	2	10	70	2	20	70	2	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
25	Defender	STR+106/DEF+7	A sword that combines offensive$nand defensive attributes.	2	EQ_WP_SWORD	2	4	2	1	0	0	0		2	0	0	0	0	0	0	0	0	0	0	0	0	0	106	7	10	106	7	20	106	7	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
26	Liberacion	STR+149/DEF+8	A sword forged from orichalcum$nspecifically to slay Primordials.	2	EQ_WP_SWORD	3	5	3	1	0	0	0		3	0	0	0	0	0	0	0	0	0	0	0	0	0	149	8	10	149	8	20	149	8	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
27	Dunamis Edge	STR+179/DEF+9	Made for experienced warriors, the blade$nis exceptionally beautiful and durable.	2	EQ_WP_SWORD	4	6	3	1	0	0	0		4	0	0	0	0	0	0	0	0	0	0	0	0	0	179	9	10	179	9	20	179	9	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
28	Vorpal Blade	STR+215/DEF+11	A trenchant long sword, with power$ncomparable to siege weaponry.	2	EQ_WP_SWORD	5	7	4	1	0	0	0		4	0	0	0	0	0	0	0	0	0	0	0	0	0	215	11	10	215	11	20	215	11	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
29	Dainsleif	STR+242/DEF+12	Used during the Eternian era, this sword$ncan slice through Saurian scales.	2	EQ_WP_SWORD	6	8	4	1	0	0	0		5	0	0	0	0	0	0	0	0	0	0	0	0	0	242	12	10	242	12	20	242	12	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
30	Hyperion Blade	STR+284/DEF+15	A powerful sword, said to be capable$nof cleaving the heavens.	2	EQ_WP_SWORD	7	9	5	1	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	15	10	284	15	20	284	15	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
// <武器>	名前	効果説明文	アイテム説明文	強化Lv	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	進化先判定スクリプト	進化段階	特性スロット数	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	LV1攻撃力	LV1防御力	LV2必要経験値	LV2攻撃力	LV2防御力	LV3必要経験値	LV3攻撃力	LV3防御力	特性１タイプ	特性１効果値	特性１反応カテゴリ	特性１必要特性値	特性２タイプ	特性２効果値	特性２反応カテゴリ	特性２必要特性値	特性３タイプ	特性３効果値	特性３反応カテゴリ	特性３必要特性値	進化先アイテム１	進化先アイテム２	進化先アイテム３	進化先アイテム４
31	Rapier	STR+8	A slender sword made for piercing.$nOften carried for self-defense.	0	EQ_WP_RAPIER	11	12	1	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	10	18	0	20	29	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
32	Foil	STR+49	An official fencing sword$nused at tournaments.	0	EQ_WP_RAPIER	12	13	2	0	1	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	10	60	0	20	68	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
33	Flamberge	STR+82	A piercing sword with a supple blade$nthat flickers like fire.	0	EQ_WP_RAPIER	13	14	2	0	1	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	10	91	0	20	102	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
34	Grand Saber	STR+128/DEF+2	A delicate yet powerful$norichalcum saber.	0	EQ_WP_RAPIER	14	15	3	0	1	0	0		2	0	0	0	0	0	0	0	0	0	0	0	0	0	128	2	10	136	2	20	144	2	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
35	Belladonna	STR+154/DEF+2	Combining elegance and practicality,$nthis blade encapsulates noble pride.	0	EQ_WP_RAPIER	15	16	3	0	1	0	0		3	0	0	0	0	0	0	0	0	0	0	0	0	0	154	2	10	163	2	20	171	2	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
36	Gordes Fencer	STR+188/DEF+2	Its shining golden blade can pierce$neven the thickest carapace.	0	EQ_WP_RAPIER	16	17	4	0	1	0	0		4	0	0	0	0	0	0	0	0	0	0	0	0	0	188	2	10	197	3	20	205	4	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
37	Arondight	STR+213/DEF+5	The blade has been honed to perfection;$nit can even bore through orichalcum.	0	EQ_WP_RAPIER	17	18	4	0	1	0	0		4	0	0	0	0	0	0	0	0	0	0	0	0	0	213	5	10	222	5	20	231	5	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
38	Mercurius Blade	STR+252/DEF+5	A beautiful sacred sword that can$npierce cleanly through anything.	0	EQ_WP_RAPIER	18	19	4	0	1	0	0		5	0	0	0	0	0	0	0	0	0	0	0	0	0	252	5	10	261	5	20	270	5	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
39	Rapier	STR+18	A slender sword made for piercing.$nOften carried for self-defense.	1	EQ_WP_RAPIER	11	12	1	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	10	18	0	20	18	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
40	Foil	STR+60	An official fencing sword$nused at tournaments.	1	EQ_WP_RAPIER	12	13	2	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	10	60	0	20	60	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
41	Flamberge	STR+91	A piercing sword with a supple blade$nthat flickers like fire.	1	EQ_WP_RAPIER	13	14	2	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	10	91	0	20	91	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
