キャラＩＤ	NAME	LV	LV補正	HPMIN	HPMAX	STRMIN	STRMAX	DEFMIN	DEFMAX	EXPMIN	EXPMAX	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
DANA3	Dana Fire	1	1	80	4200	2.3	440	0.4	260	102	520000	1	1	1	50	50	0	2.88	0.4	0.5	1.6						1	1	0.5	0.5	2	2	0.6	0.5	48	0	1																										ZOKU_LIGHT	100												0	0	1			
// セーブデータ維持用																																																																																	
PCRSV03	PC Reserve 3	1	1	75	4000	2	410	1.5	385	100	500000	1	1	1	100	100	0	2.05	0.45	0.45	0.75						1	1	0.5	0.5	2	2	0.6	0.5	55	0	1																																							0	0	1			
//----------																																																																																	
//NPC		レベル	補正力(0～1）	ＬＶ１ＨＰ	ＬＶ９９ＨＰ	ＬＶ１ＳＴＲ	ＬＶ９９ＳＴＲ	ＬＶ１ＤＥＦ	ＬＶ９９ＤＥＦ	ＬＶ１ＥＸＰ	ＬＶ９９ＥＸＰ																																																																						
NPC		1	1	75	4000	20	800	8	800	100	500000	1	1	1	100	100	0	1.5	1	1	0.3						1	1	0.5	0.5	2	2	0.6	0.5	50	0	1																																							0	0	1			
NPCCHILD		1	1	50	3000	10	600	5	600	100	500000	1	1	1	100	100	0	1.2	1	1	0.3						1	1	0.5	0.5	2	2	0.6	0.35	35	0	1																																							0	0	1			
NPCOLD		1	1	50	3000	10	600	5	600	100	500000	1	1	1	100	100	0	1	1	1	0.3						1	1	0.5	0.5	2	2	0.6	0.5	50	0	1																																							0	0	1			
NPC_SMALL		1	1	50	3000	10	600	5	600	100	500000	1	1	1	100	100	0	1	1	1	0.3						1	1	0.3	0.5	1.2	2	0.6	0.075	20	0	1																																												
NPCNIA		1	0	800	4000	20	800	550	800	100	500000	1	1	1	100	100	0	1.5	1	1	0.3						0.5	1	0.5	1.2	2	2	0.6	0.5	50	0	1																																							0	0	1			
NPCRYUSHA		1	1	75	4000	20	800	8	800	100	500000	1	1	1	100	100	0	1.5	1	1	0.3						1	1	2.2	0.5	2	2	0.6	0.5	50	0	1																																							0	0	1			
//----------																																																																																	
//OBJ		レベル	補正力(0～1）	ＬＶ１ＨＰ	ＬＶ９９ＨＰ	ＬＶ１ＳＴＲ	ＬＶ９９ＳＴＲ	ＬＶ１ＤＥＦ	ＬＶ９９ＤＥＦ	ＬＶ１ＥＸＰ	ＬＶ９９ＥＸＰ																																																																						
BASICOBJ	Basic Object	1	1	1	1							1	1	1																					999	2	1																																							0	0	1			
LIGHTOBJ	Light Object	1	1	1	1							1	1	1																					999	2	1																																							0	0	1			
COOPEVOBJ	Support Event Object	1	1	1	1							1	1	1																					999	2	1																																							0	0	1			
DOOR	Door	1	1	1	1							1	1	1																					999	2	1																																							0	0	1			
EVENTOBJ	Event Object	1	1	1	1							1	1	1																					999	2	1																																							0	0	1			
EVENTOBJ_W	Event Object (Water)	1	1	1	1							1	1	1																					999	2	1																										ZOKU_WATER	100												0	0	1			
EVENTOBJ_E	Event Object (Land)	1	1	5	5							1	1	1																					999	2	1																										ZOKU_EARTH	100												0	0	1			
EVENTOBJ_L	Event Object (Light)	1	1	5	5							1	1	1																					999	2	1																										ZOKU_LIGHT	100												0	0	1			
HAGI_OBJ	Removing Object	1	1	1	1							1	1	1																					999	2	1																																							0	0	1			
HAGI_OBJ2	Removing Object	1	1	2	2							1	1	1																					999	2	1																																							0	0	1			
HAGI_OBJ4	Removing Object	1	1	4	4							1	1	1																					999	2	1																																							0	0	1			
HAGI_FALL	Removing Object	1	1	1	1							1	1	1																					999	2	1																																							0	0	1			
HAGI_FALL2	Removing Object	1	1	2	2							1	1	1																					999	2	1																																							0	0	1			
HAGI_FALL4	Removing Object	1	1	4	4							1	1	1																					999	2	1																																							0	0	1			
O_BREAK	Removing Object Drop	1	1	1	1							1	1	1																					999	2	1																																							0	0	1			
O_WARPPT	Removing Object Drop	1	1	1	1							1	1	1																					999	2	1																																							0	0	1			
TBOX	Breakable Object	1	1	1	1							1	1	1																					999	2	1																																							0	0	1			
TTBOX	Monolith	1	1	1	1							1	1	1																					999	2	1																										ZOKU_CLEAR	100												0	0	1			
O_MEMPT	Treasure Chest	1	1	1	1							1	1	1																					999	2	1																																							0	0	1			
O_BREAK2	Memory Sphere	1	1	1	1							1	1	1																					999	2	1																																							0	0	1			
FLOBJ	Breakable Object 2	1	1	1	1							1	1	1																					999	2	1																																							0	0	1			
FISHSIGN	Flash Object	1	1	1	1							1	1	1																					999	2	1																																							0	0	1			
GIM_ROCKMGR	Fish Shadow Object	1	1	8	8							1	1	1																					999	2	1																										ZOKU_EARTH	100												0	0	1			
//----------																																																																																	
// 迎撃戦オブジェクト																																																																																	
INT_BASE_01	Raid: Base Lv0	10	0	5000	5000	0	0	45	45	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	1	1	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_BASE_02	Raid: Base Lv1	12	0	7000	7000	25	25	60	60	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	1	1	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_BASE_03	Raid: Base Lv2	15	0	10000	10000	75	75	90	90	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	1	1	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_BASE_04	Raid: Base Lv3	21	0	14500	14500	150	150	135	135	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	1	1	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_BASE_05	Raid: Base Lv4	28	0	21300	21300	225	225	180	180	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	1	1	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_BASE_06	Raid: Base Lv5	36	0	31700	31700	300	300	225	225	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	1	1	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_BASE_07	Raid: Base Lv6	45	0	48000	48000	375	375	290	290	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	1	1	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_BASE_08	Raid: Base Lv7	55	0	73800	73800	450	450	390	390	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	1	1	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_BASE_09	Raid: Base Lv8	66	0	115600	115600	525	525	500	500	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	1	1	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_BASE_10	Raid: Base Lv9	78	0	184000	184000	600	600	600	600	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	1	1	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_DECOY_01	Raid: Decoy Lv1	15	0	500	500	0	0	80	80	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	0.95	1.05	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_DECOY_02	Raid: Decoy Lv2	28	0	1600	1600	75	75	180	180	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	0.95	1.05	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_DECOY_03	Raid: Decoy Lv3	41	0	3400	3400	150	150	330	330	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	0.95	1.05	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_DECOY_04	Raid: Decoy Lv4	54	0	6000	6000	225	225	530	530	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	0.95	1.05	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_DECOY_05	Raid: Decoy Lv5	67	0	9500	9500	300	300	680	680	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	0.95	1.05	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_FENCE_01	Raid: Fence Lv1	20	0	250	250	0	0	100	100	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	0.95	1.05	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_FENCE_02	Raid: Fence Lv2	30	0	950	950	75	75	210	210	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	0.95	1.05	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_FENCE_03	Raid: Fence Lv3	42	0	2300	2300	150	150	360	360	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	0.95	1.05	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_FENCE_04	Raid: Fence Lv4	56	0	4500	4500	225	225	580	580	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	0.95	1.05	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_FENCE_05	Raid: Fence Lv5	70	0	7750	7750	300	300	800	800	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	0.95	1.05	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_GONG_01	Raid: Gong Lv1	25	0	300	300	30000	30000	-100	-100	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	0.95	1.05	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_GONG_02	Raid: Gong Lv2	45	0	240	240	80000	80000	-100	-100	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	0.95	1.05	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_GONG_03	Raid: Gong Lv3	65	0	150	150	240000	240000	-100	-100	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	0.95	1.05	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_BONF_01	Hunt: Bonfire Lv0	11	0	484	484	0	0	41	41	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	1	1	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_BONF_02	Hunt: Bonfire Lv1	15	0	900	900	25	25	56	56	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	1	1	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_BONF_03	Hunt: Bonfire Lv2	20	0	1600	1600	75	75	76	76	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	1	1	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_BONF_04	Hunt: Bonfire Lv3	26	0	2704	2704	150	150	100	100	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	1	1	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_BONF_05	Hunt: Bonfire Lv4	33	0	4356	4356	225	225	130	130	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	1	1	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_BONF_06	Hunt: Bonfire Lv5	41	0	6724	6724	300	300	164	164	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	1	1	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_BONF_07	Hunt: Bonfire Lv6	50	0	10000	10000	375	375	205	205	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	1	1	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_BONF_08	Hunt: Bonfire Lv7	60	0	14400	14400	450	450	252	252	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	1	1	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_BONF_09	Hunt: Bonfire Lv8	71	0	20164	20164	525	525	306	306	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	1	1	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_BONF_10	Hunt: Bonfire Lv9	83	0	27556	27556	600	600	368	368	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	1	1	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
INT_EFXBOX	Raid: Effect Box	1	0	1	1	0	0	0	0	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	0.95	1.05	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
IC_OBJ	Raid: Preview	1	0	1	1	0	0	0	0	0	0	1	1	1	100	999999	0	0	0	0	0						0	0	0.5	0.5	0.5	0	0	0.1	999	2	1	0.95	1.05	0	0	0	0	99999	99999	999999	100	999999	999999	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0			
																																																																																	
//----------																																																																																	
//ENEMY		レベル	補正力(0～1）	ＨＰ偏差最小	ＨＰ偏差最大	ＳＴＲ偏差最小	ＳＴＲ偏差最大	ＤＥＦ偏差最小	ＤＥＦ偏差最大	ＥＸＰ偏差最小	ＥＸＰ変異最大	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
M0100	Ratni	39	0.45	50	55	50	55	50	55	30	35	1	1	1	150	150	0	1.75	0.15	0.08	0.3	0	0	0	0	0	0.3	1	0.75	0.5	2.1	4	0.9	1	25	0	1	0.95	1.05	32	60	120	150	90	50	30000	50	0	200	0	24	0	ICON3D_MT_N2_BONE	800	0	1	ICON3D_MT_N3_LEATHER	50	0	0	ICON3D_US_COCONUT	50	0	0	0	0	0	0	0	0	0	0	0	0	m0100	109000	109000	1	Bone_upper01	ENTYPE_BEAST	
M0101	Rikad	16	0.45	75	79	40	43	98	102	13	17	0.2	0.5	0.2	100	100	2	1	0.1	0.1	0.4	0	0	0	0	0	0.1	1	1.25	0.5	3.1	4	0.75	1.5	60	0	1.5	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_BONE	800	0	1	ICON3D_MT_N2_BONE	50	ICON3D_MT_R1_PARTS03	10	0	0	ZOKU_WEAK_CRUSH	0	ZOKU_WEAKDMG	7	0	0	0	0	0	0	0	0	m0101	109000	109000	1	atari1	ENTYPE_BEAST	
M0102	Maltu	5	0.45	84	86	68	72	62	65	59	64	1	0.5	0.5	100	100	2	0.75	0.1	0.1	0.4	0	0	0	0	0	0.2	1	1	0.5	2.6	4	0.75	1	45	0	1.25	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_LIQUID	800	0	1	ICON3D_MT_N1_STONE	50	0	0	ICON3D_FD_SEA_SHELLFISH	50	ZOKU_WEAK_SLASH	0	ZOKU_WEAKDMG	12	0	0	0	0	0	0	0	0	m0102	109000	109000	1	Bone_Root	ENTYPE_BEAST	
M0103	Sangator	17	0.45	52	56	75	78	55	60	14	18	0.8	0.3	0.3	100	100	10	1	0.1	0.1	0.4	0	0	0	0	0	0	1	1.25	0.5	3.3	0	0	1	500	0	2	0.95	1.05	24	28	180	180	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_LEATHER	800	0	1	ICON3D_MT_N2_LIQUID	50	0	0	ICON3D_FD_SEA_SALT	50	ZOKU_WEAK_SLASH	0	ZOKU_WEAKDMG	9	0	0	0	0	0	0	0	0	m0103	109000	109000	1	Bone_Body03	ENTYPE_BEAST	
M0104	Vastera	6	0.7	150	152	105	107	70	73	108	112	1	1	1	2200	2800	10	1	0.1	0.1	0.2	0	0	0	0	0	0.1	1	2	0.5	4.6	4	1	3.5	100	1	3	0.95	1.05	32	56	150	180	90	60	50000	50	0	200	0	24	0	ICON3D_MT_N1_LIQUID	800	3	3	ICON3D_MT_N2_LIQUID	150	ICON3D_MT_R1_PARTS04	50	ICON3D_FD_MEAT_02	100	0	0	0	0	0	0	0	0	0	0	0	0	m0104	109020	109020	1	Null_piyo	ENTYPE_BEAST	
M0105	Lugaes	12	0.45	30	34	88	92	65	68	12	15	0.3	0.3	0.8	100	100	0	1	0.1	0.1	0.15	0.3	0.03	0.06	0	0	0.1	1	1.5	0.5	3.6	0	0	1	70	0	1	0.95	1.05	16	28	120	180	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_LEATHER	800	0	1	ICON3D_MT_N2_LEATHER	50	ICON3D_MT_R1_PARTS02	10	0	0	ZOKU_WEAK_SHOOT	0	ZOKU_WEAKDMG	10	0	0	0	0	0	0	0	0	m0105	109000	109000	1	Bone_Root	ENTYPE_BEAST	
M0106	Wollof	8	0.45	32	35	90	95	12	15	22	26	1	1	1	100	100	0	0.8	0.1	0.1	0.2	0	0	0	0	0	0.2	1	1	0.5	2.6	4	0.85	1.25	50	0	1.25	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_LEATHER	800	0	1	ICON3D_MT_N2_BONE	150	ICON3D_MT_R1_PARTS04	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0106	109000	109000	0	Bone_Root	ENTYPE_BEAST	
M0107	Raemitt	2	0.45	30	35	95	100	60	63	21	25	1	1	1	5	100	0	1	0.1	0.1	0.4	0	0	0	0	0	0.1	1	0.8	0.5	2.2	4	0.75	1	20	0	1	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_LEATHER	800	0	1	ICON3D_MT_N1_BONE	50	0	0	ICON3D_US_BERRY	50	0	0	0	0	0	0	0	0	0	0	0	0	m0107	109000	109000	1		ENTYPE_BEAST	
